,id,name,last,party,state,Endorsement,Ideology
107,S000344,"Rep. Sherman, Brad [D-CA-27]",Sherman,D,CA,Clinton,-0.343
373,S000364,"Rep. Shimkus, John [R-IL-19]",Shimkus,R,IL,McCain,0.375
297,S001171,"Rep. Shuler, Heath [D-NC-11]",Shuler,D,NC,Edwards,-0.07
250,S001154,"Rep. Shuster, Bill [R-PA-9]",Shuster,R,PA,Romney,0.374
135,S001148,"Rep. Simpson, Michael K. [R-ID-2]",Simpson,R,ID,Romney,0.301
64,S001165,"Rep. Sires, Albio [D-NJ-13]",Sires,D,NJ,Clinton,-0.404
4,S000465,"Rep. Skelton, Ike [D-MO-4]",Skelton,D,MO,No Endorsement,-0.172
78,S000480,"Rep. Slaughter, Louise McIntosh [D-NY-28]",Slaughter,D,NY,Clinton,-0.465
270,S000510,"Rep. Smith, Adam [D-WA-9]",Smith,D,WA,Obama,-0.287
293,S001172,"Rep. Smith, Adrian [R-NE-3]",Smith,R,NE,No Endorsement,0.515
873,S000522,"Rep. Smith, Christopher H. [R-NJ-4]",Smith,R,NJ,No Endorsement,0.172
395,S000583,"Rep. Smith, Lamar [R-TX-21]",Smith,R,TX,Romney,0.425
816,S000672,"Rep. Snyder, Vic [D-AR-2]",Snyder,D,AR,Clinton,-0.268
39253,S001153,"Rep. Solis, Hilda L. [D-CA-32]",Solis,D,CA,Clinton,-0.508
357,S001143,"Rep. Souder, Mark E. [R-IN-3]",Souder,R,IN,No Endorsement,0.435
291,S001173,"Rep. Space, Zachary T. [D-OH-18]",Space,D,OH,No Endorsement,-0.167
98,S001175,"Rep. Speier, Jackie [D-CA-12]",Speier,D,CA,No Endorsement,-0.381
698,S000749,"Rep. Spratt, John M., Jr. [D-SC-5]",Spratt,D,SC,No Endorsement,-0.256
67,S000810,"Rep. Stark, Fortney Pete [D-CA-13]",Stark,D,CA,No Endorsement,-0.631
1327,S000822,"Rep. Stearns, Cliff [R-FL-6]",Stearns,R,FL,No Endorsement,0.554
168,S001045,"Rep. Stupak, Bart [D-MI-1]",Stupak,D,MI,Edwards,-0.396
6427,S001188,"Rep. Stutzman, Marlin A. [R-IN-3]",Stutzman,R,IN,No Endorsement,0.742
1949,S001155,"Rep. Sullivan, John [R-OK-1]",Sullivan,R,OK,Thompson,0.513
132,S001174,"Rep. Sutton, Betty [D-OH-13]",Sutton,D,OH,No Endorsement,-0.44
278,T000038,"Rep. Tanner, John S. [D-TN-8]",Tanner,D,TN,No Endorsement,-0.182
3053,T000057,"Rep. Tauscher, Ellen O. [D-CA-10]",Tauscher,D,CA,Clinton,-0.308
1549,T000074,"Rep. Taylor, Gene [D-MS-4]",Taylor,D,MS,No Endorsement,-0.045
823,T000466,"Rep. Teague, Harry [D-NM-2]",Teague,D,NM,No Endorsement,-0.142
366,T000459,"Rep. Terry, Lee [R-NE-2]",Terry,R,NE,Thompson,0.426
12,T000193,"Rep. Thompson, Bennie G. [D-MS-2]",Thompson,D,MS,No Endorsement,-0.516
585,T000467,"Rep. Thompson, Glenn [R-PA-5]",Thompson,R,PA,No Endorsement,0.321
35,T000460,"Rep. Thompson, Mike [D-CA-1]",Thompson,D,CA,No Endorsement,-0.393
3,T000238,"Rep. Thornberry, Mac [R-TX-13]",Thornberry,R,TX,No Endorsement,0.525
385,T000260,"Rep. Tiahrt, Todd [R-KS-4]",Tiahrt,R,KS,Brownback,0.449
459,T000462,"Rep. Tiberi, Patrick J. [R-OH-12]",Tiberi,R,OH,No Endorsement,0.386
752,T000266,"Rep. Tierney, John F. [D-MA-6]",Tierney,D,MA,No Endorsement,-0.488
381,T000468,"Rep. Titus, Dina [D-NV-3]",Titus,D,NV,No Endorsement,-0.302
